trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-115.45787353205392,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-136.08702421936832,"{0: 10, 1: 4, 2: 1, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",30,0,-210.05288456453277,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.6561}",20,0,-76.68977994464242,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,0,-45.94278146597301,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.531441}",25,0,-178.6944038131895,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.4782969000000001}",20,0,-91.7658512359696,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.4304672100000001}",20,0,-50.29990185246365,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.3874204890000001}",25,0,-82.4489591036604,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.3486784401000001}",25,0,-142.9644268653783,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000006}",20,0,-14.214852307543525,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.2824295364810001}",30,0,-28.019433076572536,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.2541865828329001}",30,0,-15.144395799596632,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.2287679245496101}",35,14,-36.91782666862083,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.20589113209464907}",20,0,-81.07316108819677,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.18530201888518416}",25,8,-11.077380552033254,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,0,-30.05785673012196,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.15009463529699918}",20,0,-112.70373873625256,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",25,0,-78.60683654777495,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056935}",25,9,-15.66995962646533,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151242}",35,0,8.011275891728681,"{0: 32, 1: 0, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.09847709021836118}",20,12,13.126773163279097,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.08862938119652507}",30,0,29.723885011860247,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.07976644307687256}",25,0,-89.76169086986417,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.0717897987691853}",30,0,-58.20958079563204,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.06461081889226677}",30,0,38.82868922275498,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.058149737003040096}",20,0,-23.407793100766746,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.05233476330273609}",25,0,-60.12900722495658,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.047101286972462485}",20,0,15.1366238167615,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,6,-33.58151084427777,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,11.249595979889436,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-82.64389827248861,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,19.56707286256049,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-82.30843207157362,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-63.2028056255265,"{0: 25, 1: 2, 2: 0, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-2.5625670023544087,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,9,8.973829699821495,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,-55.01436843107218,"{0: 26, 1: 1, 2: 0, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,4,23.06879000631439,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
