trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-135.0622229186834,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-73.39152357336032,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,1,-28.05779301501672,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",30,12,-90.05090387331954,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",30,20,-29.15102949132279,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",30,0,-216.16762807814797,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",30,3,-209.44789887825,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 3}",1
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-67.4062679554547,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-91.41761891901514,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-158.20787084782967,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-120.38903622447086,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-171.77789710907751,"{0: 18, 1: 0, 2: 6, 3: 5, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-158.2285483443796,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-45.560134893912675,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,21,-11.27620474872044,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-171.37777231716325,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",30,0,-218.49925634073767,"{0: 14, 1: 3, 2: 8, 3: 3, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-94.06756418306966,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-67.99679704635037,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-146.17188584981963,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-43.066138624854716,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-46.66389482333265,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-156.77962614191705,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-76.2835396074468,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",30,0,-131.52693056868435,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",35,0,-209.3492257683534,"{0: 23, 1: 1, 2: 5, 3: 3, 4: 3}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",25,0,-71.79912751685423,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-58.80674510615959,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-77.5208253590672,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-130.40460615204574,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,2,-67.27710257515389,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-68.16947824836932,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",25,0,-52.7241562137689,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-118.87215471947246,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",30,0,-182.08658150265222,"{0: 15, 1: 8, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",25,0,-184.93339047806836,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,0,-58.120558518002994,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,0,-132.8676678491864,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",30,0,-96.60485451089718,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,4,-135.9544443417081,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 2}",1
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",20,10,-46.031298372460874,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-105.17650950080541,"{0: 6, 1: 7, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,14,-1.4469394472940036,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",20,0,-213.28949701113552,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,1,-78.76487371871582,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 0}",1
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",20,0,-86.54369810827592,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,1,-59.05925434021272,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 0}",1
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-28.13211662211086,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",30,10,-34.12493612696497,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",35,0,-83.37267719578301,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,0,-134.45103741294872,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,0,-199.13098737074185,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",25,0,-148.71001857004384,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",25,0,-128.9778916154531,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,0,-39.05651275176443,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",25,0,-110.76871613463875,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-137.407698850518,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",20,8,-37.920292859114184,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,0,-190.7601899041931,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-63.69194447186993,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",30,0,-38.607091646367806,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",35,8,-30.73040038304214,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",30,0,-205.25326464512324,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",20,0,-33.47871638596672,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-94.81344694662155,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-128.1195570524392,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-72.68455154962032,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-105.63232699342595,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,8,-85.8156412878208,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-56.26681230769715,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",30,15,-0.5167618335184967,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.002, 'e': 0.867621256485914}",25,0,-53.70881768438082,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",35,1,-141.26259940002637,"{0: 21, 1: 3, 2: 7, 3: 2, 4: 1}",1
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",35,0,-164.21694793771871,"{0: 17, 1: 6, 2: 10, 3: 1, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",25,16,-19.900173233519187,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,8,12.811014534944817,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,0,-60.90876749165983,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",25,0,-92.14279796999183,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",25,0,-90.83710723472227,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",30,0,-186.67961885434136,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,0,-23.141545292026187,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",35,5,-112.48790059863136,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",1
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,14,-6.104026963708954,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-60.31620943766313,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
