trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-45.25036172654566,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998001}",25,0,-61.29883539629569,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",25,7,-35.30778050813842,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.996005996001}",25,0,-95.66734334982337,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-235.6077856124608,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",20,0,-133.9236779990699,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-83.09556745863726,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",20,0,-74.16026031945296,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",20,0,-95.73524499578875,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",25,4,-84.43889796168062,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",30,0,-119.93960108922228,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",30,0,-273.3733930122989,"{0: 13, 1: 3, 2: 9, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",20,0,-51.288299007173045,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",25,0,-116.65178906736058,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",30,0,-193.5574128771005,"{0: 11, 1: 7, 2: 9, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",25,0,-235.2690340480971,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",20,0,-121.23565071046258,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514505}",25,0,-25.192261793167564,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981170034864399}",25,0,-223.957258641644,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",20,0,-16.952201090914496,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,8,-68.14300309011722,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-20.6860176651912,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-201.30072600454162,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-167.71991958200397,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",30,0,-263.20502387404025,"{0: 12, 1: 2, 2: 11, 3: 2, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",35,0,-194.88633523287868,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",30,0,-209.7516020160507,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-151.55740115738914,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-61.379764154193566,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-119.73472117045524,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
